employee_id,historical_absence_rate,weather_precip,weather_temp,traffic_congestion
3347269991af564abc11ec0a8183a3bdfc6a3facfe132ac002185a07b64cc997,0.86,38.8,23.0,0.22
06d00caa75bf41824077a63784b9f55da1b2c06138125daf731a49c7843f0f7c,0.17,35.25,34.9,0.03
a2d66c870c79ab12322179b8014e69232d56fe82e1322088eb0687ef1f09cde0,0.14,20.6,36.2,0.69
ac9d64d9138ded30038638618f4c6f9e4333f7b3094e7d88b33b911522fad3d1,0.54,46.66,39.0,0.26
6323bd483965f6d808fe42fc0007a95ec40a58804e58904cd2216e1e2114493f,0.5,43.37,20.7,0.56
e8b1f9da2175f668c91f3ede90b2d8c60b8b64e170d072e73367dda232ad2012,0.28,46.22,38.9,0.99
dc2a02aab2190310909d0cf91ce40a1a0de8ccd5cfa8bc4da0045f101637c4f0,0.26,33.3,6.7,0.92
cefdfab84db21c1183572cad984031b51ced3cb1ed4e0b82b1471e2ac9a73062,0.93,47.17,-3.9,0.57
0f567fd499e84492c9071f1f1f900629e757f81c4e0cf98690b5b0f4d41557fc,0.88,34.25,26.0,0.17
afa27860c62b86c885585c7a2badc906d5cedaccb631cc3f8f76c6afda1f8afb,0.98,49.8,25.2,0.49
31feadf9d84b22252d8ed1822605c58c071389637b75265a22ff797a6fac0ea9,0.89,28.99,20.3,0.11
286fa1b0a7a5d5422a01eea2b26e43da55b3ad9cb634a97f63fcdb92f6220985,0.15,45.54,37.5,0.95
95689353ef6c51e89ea17750fc5d48a412d94dd42e3b839b9e8461e3b4386c4c,0.42,19.43,7.7,0.94
e4dd25440b13a9495ba5cdb626cffaef727090d9f74ac6a68e110c0c7f086cf7,0.73,37.46,-5.2,0.48
d7081ce6afe85bc07bcf0d5cf3eb69509482221c914f211455a649b77ad4f11e,0.71,39.18,39.8,0.26
93d7ab6c9a26335fd5cd195595a7046d796662a6c638d2d904037d0dfbf234a9,0.93,35.06,32.1,0.24
65e5592804164c9df2ae35355b15b03635a9f698011664104699554e8a603b05,0.45,43.75,-5.1,0.93
f708485ee1e4482d2f46ccff5edc608796014eb7ba182c39ec7f690e1fd8b85e,0.54,9.09,22.2,0.0
b06ee94ea7552bcc904f8c67721a6342704b80a479840207239b1bb53f90c818,0.75,30.86,-8.5,0.28
7dd02d8a2c7b8a46f6b502aa2d78357b58b06ff836c39f63bdafe331e76ecdcd,0.56,43.34,32.9,0.35
aba706463096a3432efba8223c39d3abba1026a511cb2519d5b20b000de310e3,0.58,7.41,29.1,0.71
d3b744344977f6769ca6a4c1141b1d2dd4bc1034841e308f77035e286dd985a8,0.19,14.11,32.6,0.5
27c17ecf1af312cc00ba61f7a000f280a56f8c0a2c677c5331c2980bb657a8e3,0.53,42.04,-7.1,0.52
6a11fd3cce334a2ff951be3718d0b7f06c0d9387a72dc34016add933becd2af1,0.85,5.52,37.1,0.68
dfc6686d59a4c46ba729d6bc7c1900e197086900018118aac3aa928d00498741,0.69,35.27,-3.5,0.91
15c6afd491425a791649c5e14788b4eb8f9a8164365601772c6ba4f6959d77af,0.74,16.67,36.7,0.78
8bcfb9e7bd52614247b4a7df2fb450da161616782ff9a8aa10b75bbe1c4f3095,0.82,7.26,30.7,0.98
04f319d2bd491e012b986e27ede3bee5a7b2c9d34a7c1de0fc35bcc9ab2d60a3,0.99,41.47,11.5,0.6
7464dcb30afcbbefc8cca82f701f3a5074b00e7b49f556bb383116cd83d9b25e,0.53,8.74,6.5,0.23
f51aa6ac92232ab70bed7a3795c71feb7053e9944dc6525500b71144e1125819,0.34,12.85,-8.8,0.68
79154cfbca2a7b3dcef927f350ae7174828a6c08271224cec3e06f4be0521632,0.55,18.59,-3.5,0.28
248f0624a9851089fe1f3ea469d35518a4ed4af6b69dfb613384778813ada3cc,0.31,37.78,13.1,0.04
